company,overall-ratings
google,5
google,5
google,1
google,4
google,4
google,5
google,4
google,5
google,5
google,4
google,5
google,5
google,5
google,5
google,5
google,5
google,5
google,5
google,5
google,5
google,5
google,4
google,3
google,5
google,5
google,5
google,5
google,5
google,3
google,4
google,5
google,3
google,3
google,3
google,4
google,4
google,5
google,5
google,5
google,4
google,5
google,5
google,4
google,5
google,3
google,5
google,3
google,5
google,4
google,5
google,5
google,5
google,5
google,4
google,5
google,4
google,3
google,4
google,4
google,4
google,4
google,5
google,4
google,4
google,5
google,5
google,5
google,4
google,5
google,4
google,4
google,5
google,3
google,5
google,5
google,5
google,4
google,5
google,5
google,5
google,5
google,1
google,5
google,5
google,5
google,5
google,5
google,5
google,4
google,5
google,5
google,4
google,4
google,5
google,5
google,3
google,5
google,3
google,5
google,5
google,4
google,3
google,4
google,4
google,5
google,2
google,4
google,5
google,5
google,5
google,3
google,5
google,5
google,5
google,4
google,5
google,5
google,2
google,4
google,5
google,4
google,4
google,4
google,4
google,4
google,5
google,3
google,4
google,5
google,5
google,4
google,4
google,1
google,5
google,4
google,5
google,4
google,5
google,1
google,5
google,4
google,4
google,5
google,5
google,3
google,5
google,5
google,4
google,4
google,4
google,4
google,5
google,3
google,5
google,5
google,5
google,3
google,5
google,4
google,4
google,5
google,4
google,4
google,4
google,5
google,3
google,4
google,5
google,5
google,5
google,4
google,3
google,5
google,5
google,5
google,4
google,5
google,4
google,4
google,4
google,5
google,2
google,3
google,5
google,4
google,4
google,5
google,5
google,5
google,5
google,5
google,3
google,4
google,5
google,5
google,5
google,3
google,3
google,5
google,5
google,2
google,4
google,4
google,4
google,4
google,4
google,4
google,4
google,4
google,4
google,4
google,2
google,5
google,5
google,5
google,4
google,4
google,3
google,4
google,4
google,3
google,4
google,5
google,5
google,5
google,5
google,5
google,4
google,2
google,4
google,4
google,5
google,4
google,5
google,4
google,4
google,4
google,4
google,5
google,4
google,5
google,5
google,5
google,4
google,5
google,5
google,5
google,5
google,5
google,5
google,5
google,5
google,4
google,4
google,5
google,5
google,4
google,4
google,4
google,4
google,5
google,5
google,5
google,4
google,5
google,5
google,5
google,5
google,5
google,5
google,5
google,5
google,1
google,2
google,5
google,5
google,5
google,5
google,5
google,5
google,5
google,4
google,4
google,5
google,5
google,3
google,5
google,2
google,4
google,3
google,4
google,5
google,5
google,5
google,5
google,5
google,5
google,5
google,5
google,4
google,3
google,5
google,4
google,4
google,5
google,5
google,5
google,5
google,4
google,4
google,5
google,3
google,3
google,3
google,5
google,5
google,5
google,5
google,4
google,5
google,5
google,5
google,5
google,4
google,4
google,5
google,5
google,5
google,5
google,2
google,4
google,2
google,5
google,4
google,4
google,5
google,4
google,4
google,4
google,5
google,5
google,3
google,1
google,4
google,4
google,5
google,5
google,4
google,3
google,5
google,5
google,4
google,5
google,5
google,4
google,5
google,5
google,5
google,4
google,4
google,4
google,4
google,5
google,4
google,4
google,4
google,5
google,5
google,2
google,5
google,5
google,5
google,5
google,4
google,5
google,5
google,5
google,4
google,5
google,3
google,5
google,5
google,5
google,5
google,1
google,5
google,5
google,4
google,4
google,4
google,5
google,5
google,3
google,5
google,5
google,5
google,5
google,2
google,5
google,3
google,5
google,4
google,4
google,4
google,5
google,5
google,5
google,5
google,5
google,5
google,5
google,4
google,4
google,5
google,4
google,4
google,4
google,5
google,5
google,3
google,4
google,5
google,4
google,5
google,5
google,5
google,5
google,3
google,5
google,5
google,5
google,5
google,4
google,4
google,4
google,5
google,5
google,4
google,5
google,5
google,4
google,1
google,5
google,4
google,5
google,5
google,3
google,5
google,5
google,5
google,4
google,4
google,5
google,5
google,4
google,5
google,5
google,4
google,5
google,5
google,4
google,5
google,5
google,5
google,5
google,4
google,4
google,4
google,5
google,5
google,4
google,5
google,4
google,5
google,5
google,5
google,3
google,5
google,5
google,3
google,4
google,3
google,5
google,3
google,5
google,4
google,5
google,5
google,5
google,5
google,5
google,5
google,4
google,5
google,5
google,5
google,5
google,4
google,5
google,5
google,5
google,4
google,4
google,5
google,5
google,4
google,5
google,3
google,5
google,5
google,3
google,3
google,4
google,3
google,4
google,4
google,5
google,5
google,5
google,5
google,4
google,5
google,5
google,3
google,3
google,5
google,5
google,5
google,5
google,3
google,5
google,5
google,5
google,5
google,5
google,5
google,3
google,3
google,5
google,4
google,4
google,3
google,4
google,5
google,4
google,4
google,3
google,5
google,4
google,5
google,2
google,4
google,4
google,5
google,5
google,5
google,5
google,4
google,4
google,5
google,4
google,4
google,3
google,5
google,5
google,5
google,5
google,5
google,5
google,5
google,5
google,5
google,4
google,3
google,5
google,5
google,5
google,3
google,5
google,4
google,5
google,5
google,2
google,4
google,5
google,5
google,5
google,5
google,5
google,5
google,5
google,5
google,5
google,5
google,5
google,5
google,5
google,5
google,5
google,5
google,5
google,5
google,4
google,5
google,2
google,5
google,5
google,5
google,5
google,5
google,5
google,4
google,5
google,5
google,5
google,5
google,5
google,5
google,5
google,5
google,5
google,4
google,4
google,3
google,4
google,5
google,5
google,5
google,5
google,5
google,4
google,1
google,5
google,3
google,4
google,5
google,3
google,5
google,4
google,4
google,5
google,5
google,2
google,4
google,3
google,5
google,5
google,4
google,5
google,5
google,4
google,1
google,5
google,1
google,5
google,5
google,5
google,5
google,4
google,5
google,4
google,5
google,5
google,2
google,4
google,3
google,5
google,4
google,2
google,5
google,3
google,5
google,5
google,5
google,4
google,4
google,4
google,5
google,5
google,5
google,5
google,2
google,5
google,4
google,2
google,3
google,4
google,5
google,4
google,5
google,5
google,5
google,4
google,4
google,3
google,5
google,5
google,5
google,5
google,4
google,5
google,3
google,5
google,4
google,5
google,4
google,5
google,4
google,5
google,1
google,1
google,4
google,5
google,4
google,5
google,4
google,5
google,4
google,4
google,5
google,5
google,3
google,4
google,5
google,4
google,5
google,4
google,2
google,5
google,3
google,5
google,5
google,5
google,4
google,3
google,5
google,5
google,4
google,5
google,3
google,5
google,5
google,4
google,5
google,5
google,5
google,4
google,5
google,5
google,4
google,5
google,4
google,5
google,4
google,4
google,3
google,3
google,3
google,4
google,4
google,3
google,4
google,5
google,4
google,4
google,4
google,5
google,3
google,5
google,2
google,3
google,4
google,3
google,5
google,5
google,5
google,4
google,5
google,5
google,4
google,5
google,3
google,5
google,5
google,5
google,5
google,5
google,3
google,4
google,4
google,5
google,5
google,5
google,4
google,5
google,4
google,3
google,4
google,4
google,4
google,5
google,4
google,4
google,5
google,5
google,4
google,5
google,5
google,5
google,1
google,5
google,4
google,2
google,1
google,3
google,5
google,5
google,3
google,4
google,5
google,4
google,2
google,5
google,4
google,5
google,4
google,2
google,4
google,5
google,2
google,5
google,5
google,5
google,3
google,5
google,5
google,5
google,3
google,5
google,4
google,4
google,2
google,5
google,4
google,5
google,5
google,5
google,5
google,4
google,4
google,4
google,5
google,3
google,5
google,4
google,5
google,2
google,5
google,4
google,3
google,5
google,4
google,5
google,4
google,5
google,4
google,3
google,5
google,4
google,2
google,5
google,5
google,5
google,5
google,5
google,1
google,5
google,5
google,5
google,5
google,4
google,5
google,4
google,5
google,5
google,5
google,5
google,5
google,5
google,5
google,5
google,4
google,4
google,4
google,5
google,3
google,4
google,5
google,4
google,5
google,5
google,3
google,5
google,5
google,4
google,5
google,3
google,4
google,5
google,5
google,4
google,5
google,5
google,5
google,5
google,5
google,5
google,5
google,4
google,3
google,5
google,1
google,5
google,5
google,5
google,5
google,4
google,4
google,5
google,3
google,5
google,5
google,4
google,3
google,5
google,5
google,5
google,5
google,4
google,4
google,4
google,5
google,4
google,5
google,2
google,4
google,2
google,5
google,1
google,3
google,5
google,4
google,5
google,5
google,1
google,5
google,4
google,5
google,5
google,5
google,5
google,4
google,4
google,4
google,2
google,2
google,5
google,4
google,5
google,5
google,4
google,1
google,4
google,5
google,5
google,5
google,1
google,5
google,4
google,3
google,5
google,5
google,3
google,2
google,4
google,4
google,5
google,5
google,2
google,3
google,5
google,5
google,4
google,5
google,3
google,5
google,4
google,4
google,5
google,2
google,3
google,5
google,5
